Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
28.2109	-85.7249	1997	11	19	39	35.966	5.289	NA	NA
28.311	-85.5645	1997	11	20	29.2	36.053	5.304	NA	NA
28.4125	-85.3959	1997	11	20	29.1	36.045	5.372	NA	NA
28.5096	-85.2361	1997	11	20	29.2	35.839	5.351	NA	NA
28.6227	-85.0485	1997	11	20	29.1	35.62	5.37	NA	NA
28.8387	-84.6944	1997	11	20	9	35.257	5.518	NA	NA
29.1026	-84.2584	1997	11	20	11.1	35.793	5.404	NA	NA
29.3417	-83.8646	1997	11	20	7.9	35.639	5.588	NA	NA
29.5008	-83.6034	1997	11	20	4.1	34.279	6.152	NA	NA
29.6154	-84.7848	1997	11	21	8	34.367	6.012	NA	NA
29.3838	-85.06	1997	11	21	7.5	35.217	5.58	NA	NA
29.2006	-85.2744	1997	11	21	13.9	35.492	5.483	NA	NA
28.9871	-85.5236	1997	11	21	28.9	35.773	5.364	NA	NA
28.8156	-85.7262	1997	11	21	19.2	35.815	5.335	NA	NA
28.6024	-85.9758	1997	11	21	23.7	35.99	5.362	NA	NA
28.4034	-86.2084	1997	11	21	19.9	35.703	5.402	NA	NA
28.2914	-86.3408	1997	11	21	18.3	35.778	5.368	NA	NA
28.1876	-86.4627	1997	11	21	39.5	35.82	5.285	NA	NA
28.4068	-86.9501	1997	11	21	49.2	35.679	5.372	NA	NA
28.5613	-86.7749	1997	11	22	13.9	35.774	5.373	NA	NA
28.7179	-86.5936	1997	11	22	24	35.875	5.327	NA	NA
28.8655	-86.423	1997	11	22	28.6	35.858	5.393	NA	NA
29.0192	-86.2466	1997	11	22	18.8	35.821	5.4	NA	NA
29.2072	-86.0301	1997	11	22	9	35.666	5.394	NA	NA
29.3011	-85.918	1997	11	22	11	35.624	5.416	NA	NA
29.5001	-85.6941	1997	11	22	9.7	35.039	5.653	NA	NA
29.6875	-85.4787	1997	11	22	10.4	34.562	5.639	NA	NA
30.1792	-85.8894	1997	11	22	11.8	34.648	5.94	NA	NA
30.0218	-86.0241	1997	11	22	8.9	35.008	5.789	NA	NA
29.8554	-86.1673	1997	11	22	9	35.143	5.628	NA	NA
29.6866	-86.3107	1997	11	23	8.6	35.629	5.387	NA	NA
29.4998	-86.4717	1997	11	23	8.9	35.41	5.389	NA	NA
29.3143	-86.6318	1997	11	23	30	35.446	5.343	NA	NA
29.136	-86.7846	1997	11	23	14.3	35.564	5.412	NA	NA
28.9823	-86.9166	1997	11	23	24	35.797	5.332	NA	NA
28.8239	-87.0525	1997	11	23	13.6	35.597	5.408	NA	NA
28.66	-87.1945	1997	11	23	14.3	35.679	5.377	NA	NA
29.0548	-87.2054	1997	11	23	34.2	36.141	5.272	NA	NA
29.2662	-87.104	1997	11	23	31.8	36.05	5.318	NA	NA
29.4774	-87.0033	1997	11	23	47.9	35.968	5.219	NA	NA
29.603	-86.9453	1997	11	23	18.9	35.903	5.479	NA	NA
29.7306	-86.8827	1997	11	23	14	35.845	5.357	NA	NA
29.8767	-86.8135	1997	11	24	24	35.399	5.464	NA	NA
30.0211	-86.7427	1997	11	24	36	35.642	5.394	NA	NA
30.2031	-86.6552	1997	11	24	18.3	34.691	5.885	NA	NA
30.3621	-86.5801	1997	11	24	11	34.249	5.856	NA	NA
30.2227	-87.3526	1997	11	24	5.1	32.499	6.108	NA	NA
29.9792	-87.3499	1997	11	24	9	34.807	5.656	NA	NA
29.7274	-87.3513	1997	11	24	19	35.443	5.413	NA	NA
29.5813	-87.3517	1997	11	24	14.2	35.459	5.46	NA	NA
29.5283	-87.3515	1997	11	24	16.8	35.493	5.444	NA	NA
29.3633	-87.3497	1997	11	24	24	35.723	5.343	NA	NA
29.2066	-87.3507	1997	11	24	28.6	35.916	5.387	NA	NA
29.1487	-87.8608	1997	11	25	45.1	35.958	5.567	NA	NA
29.2134	-87.8766	1997	11	25	43.4	35.419	5.406	NA	NA
29.2843	-87.8913	1997	11	25	19.1	35.187	5.552	NA	NA
29.3736	-87.9105	1997	11	25	26.3	35.526	5.348	NA	NA
29.563	-87.9479	1997	11	25	14.2	35.495	5.428	NA	NA
