	FLKB	FLPB	TXSP	ALST	FLAB	FLCC	FLFD	FLHB	FLSG	FLSI	TXCB	TXCC
FLKB		0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
FLPB			0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
TXSP				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ALST					0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
FLAB						0.5	0.5	0.5	0.5	0.5	0.5	0.5
FLCC							0.5	0.5	0.5	0.5	0.5	0.5
FLFD								0.5	0.5	0.5	0.5	0.5
FLHB									0.5	0.5	0.5	0.5
FLSG										0.5	0.5	0.5
FLSI											0.5	0.5
TXCB												0.5
